pin_key,article_slug,pin_file,title,board,media_url,destination_url,publish_date,status,pinterest_url,notes
"open-first-box/pin-02","open-first-box","pin-02.png","First Night in a New Apartment Checklist","Moving Day Checklists","https://apartmentsurvivalkits.com/promo/open-first-box/pins/pin-02.png","https://apartmentsurvivalkits.com/kits/move-in/open-first-box/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=open-first-box-pin-02","2026-08-12T15:00:00","uploaded","","Confirmed uploaded in the first Pinterest bulk import."
"open-first-box/pin-03","open-first-box","pin-03.png","Do Not Pack These Too Deep","Moving Day Checklists","https://apartmentsurvivalkits.com/promo/open-first-box/pins/pin-03.png","https://apartmentsurvivalkits.com/kits/move-in/open-first-box/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=open-first-box-pin-03","2026-08-13T15:00:00","uploaded","","Confirmed uploaded in the first Pinterest bulk import."
"minimum-kitchen-kit/pin-01","minimum-kitchen-kit","pin-01.png","First Apartment Kitchen Minimum Kit","First Apartment Essentials","https://apartmentsurvivalkits.com/promo/minimum-kitchen-kit/pins/pin-01.png","https://apartmentsurvivalkits.com/kits/kitchen/minimum-kitchen-kit/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=minimum-kitchen-kit-pin-01","","published","","Confirmed published after Pinterest upload."
"minimum-kitchen-kit/pin-02","minimum-kitchen-kit","pin-02.png","Do Not Overbuy Your First Kitchen","First Apartment Essentials","https://apartmentsurvivalkits.com/promo/minimum-kitchen-kit/pins/pin-02.png","https://apartmentsurvivalkits.com/kits/kitchen/minimum-kitchen-kit/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=minimum-kitchen-kit-pin-02","","published","","Confirmed published after Pinterest upload."
"minimum-kitchen-kit/pin-03","minimum-kitchen-kit","pin-03.png","Kitchen Basics If You Barely Cook","First Apartment Essentials","https://apartmentsurvivalkits.com/promo/minimum-kitchen-kit/pins/pin-03.png","https://apartmentsurvivalkits.com/kits/kitchen/minimum-kitchen-kit/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=minimum-kitchen-kit-pin-03","","published","","Confirmed published after Pinterest upload."
"first-apartment-cleaning-kit/pin-01","first-apartment-cleaning-kit","pin-01.png","First Apartment Cleaning Kit","Apartment Cleaning Checklists","https://apartmentsurvivalkits.com/promo/first-apartment-cleaning-kit/pins/pin-01.png","https://apartmentsurvivalkits.com/kits/cleaning/first-apartment-cleaning-kit/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=first-apartment-cleaning-kit-pin-01","","published","","Confirmed published after Pinterest upload."
"first-apartment-cleaning-kit/pin-02","first-apartment-cleaning-kit","pin-02.png","Move-In Cleaning Supplies Checklist","Apartment Cleaning Checklists","https://apartmentsurvivalkits.com/promo/first-apartment-cleaning-kit/pins/pin-02.png","https://apartmentsurvivalkits.com/kits/cleaning/first-apartment-cleaning-kit/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=first-apartment-cleaning-kit-pin-02","","published","","Confirmed published after Pinterest upload."
"first-apartment-cleaning-kit/pin-03","first-apartment-cleaning-kit","pin-03.png","Clean Before You Set Up","Apartment Cleaning Checklists","https://apartmentsurvivalkits.com/promo/first-apartment-cleaning-kit/pins/pin-03.png","https://apartmentsurvivalkits.com/kits/cleaning/first-apartment-cleaning-kit/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=first-apartment-cleaning-kit-pin-03","","published","","Confirmed published after Pinterest upload."
"move-out-cleaning-kit/pin-01","move-out-cleaning-kit","pin-01.png","Move-Out Cleaning Kit","Apartment Cleaning Checklists","https://apartmentsurvivalkits.com/promo/move-out-cleaning-kit/pins/pin-01.png","https://apartmentsurvivalkits.com/kits/move-out/cleaning-kit/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=move-out-cleaning-kit-pin-01","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"move-out-cleaning-kit/pin-02","move-out-cleaning-kit","pin-02.png","Apartment Move-Out Cleaning Checklist","Apartment Cleaning Checklists","https://apartmentsurvivalkits.com/promo/move-out-cleaning-kit/pins/pin-02.png","https://apartmentsurvivalkits.com/kits/move-out/cleaning-kit/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=move-out-cleaning-kit-pin-02","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"move-out-cleaning-kit/pin-03","move-out-cleaning-kit","pin-03.png","Clean Before You Hand Over the Keys","Apartment Cleaning Checklists","https://apartmentsurvivalkits.com/promo/move-out-cleaning-kit/pins/pin-03.png","https://apartmentsurvivalkits.com/kits/move-out/cleaning-kit/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=move-out-cleaning-kit-pin-03","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"wall-decor/pin-01","wall-decor","pin-01.png","No-Drill Wall Decor for Renters","No-Drill Apartment Ideas","https://apartmentsurvivalkits.com/promo/wall-decor/pins/pin-01.png","https://apartmentsurvivalkits.com/kits/no-drill/wall-decor/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=wall-decor-pin-01","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"wall-decor/pin-02","wall-decor","pin-02.png","Hang Wall Art Without Holes","No-Drill Apartment Ideas","https://apartmentsurvivalkits.com/promo/wall-decor/pins/pin-02.png","https://apartmentsurvivalkits.com/kits/no-drill/wall-decor/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=wall-decor-pin-02","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"wall-decor/pin-03","wall-decor","pin-03.png","Do Command Strips Damage Walls?","No-Drill Apartment Ideas","https://apartmentsurvivalkits.com/promo/wall-decor/pins/pin-03.png","https://apartmentsurvivalkits.com/kits/no-drill/wall-decor/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=wall-decor-pin-03","","exported","","Included in pinterest-upload-now.csv and pinterest-upload-next.csv; set status to uploaded after successful import."
"basic-tool-kit/pin-01","basic-tool-kit","pin-01.png","Basic Tool Kit for Apartment Renters","First Apartment Essentials","https://apartmentsurvivalkits.com/promo/basic-tool-kit/pins/pin-01.png","https://apartmentsurvivalkits.com/kits/move-in/basic-tool-kit/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=basic-tool-kit-pin-01","","published","","Confirmed published after Pinterest upload."
"basic-tool-kit/pin-02","basic-tool-kit","pin-02.png","Tools Every Renter Actually Needs","First Apartment Essentials","https://apartmentsurvivalkits.com/promo/basic-tool-kit/pins/pin-02.png","https://apartmentsurvivalkits.com/kits/move-in/basic-tool-kit/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=basic-tool-kit-pin-02","","published","","Confirmed published after Pinterest upload."
"basic-tool-kit/pin-03","basic-tool-kit","pin-03.png","Do Not Move In Without These Tools","First Apartment Essentials","https://apartmentsurvivalkits.com/promo/basic-tool-kit/pins/pin-03.png","https://apartmentsurvivalkits.com/kits/move-in/basic-tool-kit/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=basic-tool-kit-pin-03","","published","","Confirmed published after Pinterest upload."
"no-drill-curtains/pin-01","no-drill-curtains","pin-01.png","No-Drill Curtains for Renters","No-Drill Apartment Ideas","https://apartmentsurvivalkits.com/promo/no-drill-curtains/pins/pin-01.png","https://apartmentsurvivalkits.com/kits/no-drill/no-drill-curtains/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=no-drill-curtains-pin-01","2026-08-14T15:00:00","uploaded","","Confirmed scheduled after Pinterest upload."
"no-drill-curtains/pin-02","no-drill-curtains","pin-02.png","Hang Curtains Without Drilling","No-Drill Apartment Ideas","https://apartmentsurvivalkits.com/promo/no-drill-curtains/pins/pin-02.png","https://apartmentsurvivalkits.com/kits/no-drill/no-drill-curtains/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=no-drill-curtains-pin-02","2026-08-15T15:00:00","uploaded","","Confirmed scheduled after Pinterest upload."
"no-drill-curtains/pin-03","no-drill-curtains","pin-03.png","Rental Curtains Without Losing Deposit","No-Drill Apartment Ideas","https://apartmentsurvivalkits.com/promo/no-drill-curtains/pins/pin-03.png","https://apartmentsurvivalkits.com/kits/no-drill/no-drill-curtains/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=no-drill-curtains-pin-03","2026-08-16T15:00:00","uploaded","","Confirmed scheduled after Pinterest upload."
"entryway-no-closet/pin-01","entryway-no-closet","pin-01.png","Entryway With No Closet?","Small Apartment Storage","https://apartmentsurvivalkits.com/promo/entryway-no-closet/pins/pin-01.png","https://apartmentsurvivalkits.com/kits/small-space/entryway-no-closet/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=entryway-no-closet-pin-01","2026-08-17T15:00:00","uploaded","","Confirmed scheduled after Pinterest upload."
"entryway-no-closet/pin-02","entryway-no-closet","pin-02.png","Small Apartment Entryway Fix","Small Apartment Storage","https://apartmentsurvivalkits.com/promo/entryway-no-closet/pins/pin-02.png","https://apartmentsurvivalkits.com/kits/small-space/entryway-no-closet/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=entryway-no-closet-pin-02","2026-08-18T15:00:00","uploaded","","Confirmed scheduled after Pinterest upload."
"entryway-no-closet/pin-03","entryway-no-closet","pin-03.png","Stop the Doorway Pile","Small Apartment Storage","https://apartmentsurvivalkits.com/promo/entryway-no-closet/pins/pin-03.png","https://apartmentsurvivalkits.com/kits/small-space/entryway-no-closet/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=entryway-no-closet-pin-03","2026-08-19T15:00:00","uploaded","","Confirmed scheduled after Pinterest upload."
"closet-smell-dampness/pin-01","closet-smell-dampness","pin-01.png","Closet Smells Musty?","Renter-Friendly Fixes","https://apartmentsurvivalkits.com/promo/closet-smell-dampness/pins/pin-01.png","https://apartmentsurvivalkits.com/kits/daily-fixes/closet-smell-dampness/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=closet-smell-dampness-pin-01","2026-08-20T15:00:00","uploaded","","Confirmed scheduled after Pinterest upload."
"closet-smell-dampness/pin-02","closet-smell-dampness","pin-02.png","Damp Closet in an Apartment","Renter-Friendly Fixes","https://apartmentsurvivalkits.com/promo/closet-smell-dampness/pins/pin-02.png","https://apartmentsurvivalkits.com/kits/daily-fixes/closet-smell-dampness/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=closet-smell-dampness-pin-02","2026-08-21T15:00:00","uploaded","","Confirmed scheduled after Pinterest upload."
"closet-smell-dampness/pin-03","closet-smell-dampness","pin-03.png","Do Not Just Add Scent","Renter-Friendly Fixes","https://apartmentsurvivalkits.com/promo/closet-smell-dampness/pins/pin-03.png","https://apartmentsurvivalkits.com/kits/daily-fixes/closet-smell-dampness/?utm_source=pinterest&utm_medium=social&utm_campaign=bulk_promo&utm_content=closet-smell-dampness-pin-03","2026-08-22T15:00:00","uploaded","","Confirmed scheduled after Pinterest upload."
